,individual_wikidata_id,individual_name,birthyear,meta_occupation,region_name
107,Q100827,Franz Albert Schultz,1692.0,theologian,Eastern Europe | Slav world
108,Q100828,Christian Wilhelm Braune,1831.0,anatomist,Northwestern Europe | Western Europe | German world | Germany
109,Q1008527,Gaudi Vilmos Károly,1816.0,pharmacologist,Eastern Europe | Ottoman world
110,Q100871277,Lelio Baglioni,1550.0,theologian,Western Europe | Northern Italy | Italy | Southwestern Europe
111,Q1008732,Jenő Gaál,1846.0,economist,Eastern Europe | Central Europe
112,Q100876,David Friedrich Weinland,1829.0,theologian | theologian | theologian | zoologist | zoologist | zoologist,Northwestern Europe | Western Europe | German world | Germany
113,Q1008847,Elek Gegő,1805.0,historian | historian | anthropologist | anthropologist,Eastern Europe | Central Europe
114,Q1008848,József Adolf Gegő,1746.0,astronomer,Eastern Europe | Ottoman world
115,Q100886,Samuel Crellius,1660.0,theologian,Northwestern Europe | Western Europe | Low countries | Netherlands
116,Q1008906,Richárd Gelich,1821.0,historian,Eastern Europe | Central Europe
117,Q100892,Ernst Sonnemann,1630.0,theologian,Northwestern Europe | Western Europe | German world | Germany
118,Q100898528,Robert Clephan,1839.0,archeologist,British Islands | Northwestern Europe | United Kingdom | Western Europe
119,Q100900,Johann Ferdinand Seiz,1738.0,theologian,Northwestern Europe | Western Europe | German world | Germany
120,Q100910,Caspar Merian,1627.0,geographer,Northwestern Europe | Western Europe | Low countries | Netherlands
121,Q1009176,János Genersich,1761.0,historian,Northwestern Europe | Western Europe | German world | Austria
122,Q100918,Christine Kirch,1697.0,astronomer,Northwestern Europe | Western Europe | German world | Germany
123,Q100927,Christfried Kirch,1694.0,astronomer,Northwestern Europe | Western Europe | German world | Germany
124,Q100934208,Johann Weiss,1850.0,theologian,Northwestern Europe | Western Europe | German world | Austria
125,Q1009383,Georg Jeremias Haner,1707.0,theologian,Eastern Europe | Ottoman world
126,Q100950,Emil Ludwig Schmidt,1837.0,anthropologist,Northwestern Europe | Western Europe | German world | Germany
127,Q1009506,George Smith,1840.0,archeologist | archeologist | anthropologist | anthropologist,Ottoman world | Muslim world | Arabic world
128,Q100956112,Aleksander Kazimierz Cybulski,1807.0,mathematician,Eastern Europe | Central Europe
129,Q100969163,Olayo Díaz Giménez,1810.0,physicist,Western Europe | Southwestern Europe | Spain
130,Q100979,Johann Schilter,1632.0,historian,Northwestern Europe | Western Europe | France | Northern France
131,Q100991,Carl Heinrich Wilhelm Hagen,1810.0,historian,Northwestern Europe | Western Europe | German world | Switzerland
132,Q100997711,William Brassier,1689.0,geographer,British Islands | Northwestern Europe | United Kingdom | Western Europe
133,Q101001,Franz Ludwig Güssefeld,1744.0,geographer,Northwestern Europe | Western Europe | German world | Germany
134,Q101002,Albert Kretschmer,1825.0,historian,Northwestern Europe | Western Europe | German world | Germany
135,Q1010025,Sándor Gesell,1839.0,geologist,Eastern Europe | Central Europe
136,Q101002817,Balthasar Arend,1640.0,theologian,Northwestern Europe | Western Europe | German world | Germany
137,Q101008,Gotthard Victor Lechler,1811.0,theologian,Northwestern Europe | Western Europe | German world | Germany
138,Q101012,Franz Xaver Schönwerth,1810.0,linguist | linguist,Northwestern Europe | Western Europe | German world | Germany
139,Q101015979,Ferdinand Friedrich Hornstein,1834.0,geologist | geologist,Northwestern Europe | Western Europe | German world | Germany
140,Q1010215,Géza Ghyczy,1837.0,economist,Eastern Europe | Central Europe
141,Q101024,Fridolin Karl Leopold Spenner,1798.0,botanist,Northwestern Europe | Western Europe | German world | Germany
142,Q101027,Bernhard Christian Otto,1745.0,botanist | botanist | zoologist | zoologist,Northwestern Europe | Western Europe | German world | Germany
143,Q1010304,Burchard Christian von Spilcker,1770.0,historian,Northwestern Europe | Western Europe | German world | Germany
144,Q1010311,Burchardus Harbart,1546.0,theologian,Northwestern Europe | Western Europe | German world | Germany
145,Q101041,Max Leichtlin,1831.0,botanist,Northwestern Europe | Western Europe | German world | Germany
146,Q101044974,Carl Erengisle Hyltén-Cavallius,1817.0,chemist,Northwestern Europe | Western Europe | Nordic countries | Sweden
147,Q1010628,Giovanni Battista Niccolini,1782.0,historian,Western Europe | Northern Italy | Italy | Southwestern Europe
148,Q101063568,Johann Paul Vorbuchner,1782.0,botanist,Northwestern Europe | Western Europe | German world | Austria
149,Q101063578,Theodor Watzel,1846.0,zoologist,Eastern Europe | Central Europe
150,Q101068594,Jakob Gottfried Fahland,1727.0,theologian,Northwestern Europe | Western Europe | German world | Germany
151,Q101078161,William James Knowles,1832.0,archeologist,British Islands | Northwestern Europe | United Kingdom | Western Europe
152,Q101080,Ludwig Crocius,1586.0,theologian,Northwestern Europe | Western Europe | German world | Germany
153,Q101089,Gerhard Westerburg,1486.0,theologian,Northwestern Europe | Western Europe | German world | Germany
154,Q101096,Luneberg Mushard,1672.0,historian,Northwestern Europe | Western Europe | German world | Germany
155,Q101103301,Samuel Ziervogel,1730.0,zoologist,Northwestern Europe | Western Europe | Nordic countries | Sweden
156,Q101111637,Joseph-Louis de Vincens de Mauléon de Causans,1693.0,mathematician,Northwestern Europe | Western Europe | Southern France | France
157,Q101144,Gottfried Christian Friedrich Lücke,1791.0,theologian,Northwestern Europe | Western Europe | German world | Germany
158,Q101168,Georg Christian Dieffenbach,1822.0,theologian,Northwestern Europe | Western Europe | German world | Germany
159,Q101169,Nicolaus Gallus,1516.0,theologian,Northwestern Europe | Western Europe | German world | Germany
160,Q1011794,Ignác Gond,1841.0,archeologist,Eastern Europe | Central Europe
161,Q101207391,Johannes Vlak,1635.0,theologian,Northwestern Europe | Western Europe | Low countries | Netherlands
162,Q101208594,Charles Mangon de La Lande,1770.0,archeologist | archeologist | historian | historian,Northwestern Europe | Western Europe | France | Northern France
163,Q101243050,Josef Mikoletzky,1831.0,mathematician,Eastern Europe | Central Europe
164,Q101243065,Adam Bojanowicz,1787.0,geographer,Northwestern Europe | Western Europe | German world | Germany
165,Q101285941,François Louis de Bons,1723.0,theologian,Northwestern Europe | Western Europe | German world | Switzerland
