,wikidata_id,name,year,cultural_score,occupation
22478,Q2610295,Johannes van der Kemp,"(1760, 1810)",0.10273714965607503,explorer
22479,Q8017662,William Robertson,"(1810, 1860)",0.10037310655421675,settler
22480,Q18018962,Carl Friedrich Meyer,"(1850, 1900)",0.1001943193353892,geographer
22481,Q18018962,Carl Friedrich Meyer,"(1850, 1900)",0.1001943193353892,pedagogue
22482,Q18018962,Carl Friedrich Meyer,"(1850, 1900)",0.1001943193353892,historian
22483,Q2960322,Charles Thorold Wood,"(1790, 1840)",0.10026296753973897,ornithologist
22484,Q77962,Jacob Milich,"(1510, 1560)",0.10284565807945696,astronomer
22485,Q77962,Jacob Milich,"(1510, 1560)",0.10284565807945696,mathematician
22486,Q77962,Jacob Milich,"(1510, 1560)",0.10284565807945696,university teacher
22487,Q5729937,Henry Watts,"(1830, 1880)",0.10015871574913367,scientist
22488,Q5729937,Henry Watts,"(1830, 1880)",0.10015871574913367,chemist
22489,Q1611119,Hermann Friedrich Becker,"(1780, 1830)",0.1013114970694508,architect
22490,Q1611119,Hermann Friedrich Becker,"(1780, 1830)",0.1013114970694508,physicist
22491,Q1611119,Hermann Friedrich Becker,"(1780, 1830)",0.1013114970694508,mathematician
22492,Q1611119,Hermann Friedrich Becker,"(1780, 1830)",0.1013114970694508,university teacher
22493,Q15408076,Bernhard Friedrich von Krosigk,"(1670, 1720)",0.10028346105761449,astronomer
22494,Q323506,Richard Chandler,"(1750, 1800)",0.10113638359103183,archaeologist
22495,Q323506,Richard Chandler,"(1750, 1800)",0.10113638359103183,art historian
22496,Q156280,Leopold Mozart,"(1730, 1780)",0.15566753518933193,musician
22497,Q156280,Leopold Mozart,"(1730, 1780)",0.15566753518933193,composer
22498,Q156280,Leopold Mozart,"(1730, 1780)",0.15566753518933193,music pedagogue
22499,Q156280,Leopold Mozart,"(1730, 1780)",0.15566753518933193,violinist
22500,Q156280,Leopold Mozart,"(1730, 1780)",0.15566753518933193,pedagogue
22501,Q156280,Leopold Mozart,"(1730, 1780)",0.15566753518933193,music theorist
22502,Q156280,Leopold Mozart,"(1730, 1780)",0.15566753518933193,musicologist
22503,Q2833229,Alexander Willem Michiel Van Hasselt,"(1820, 1870)",0.10129250166195942,naturalist
22504,Q2833229,Alexander Willem Michiel Van Hasselt,"(1820, 1870)",0.10129250166195942,arachnologist
22505,Q3385714,Pierre Laclède,"(1740, 1790)",0.10159548001143782,explorer
22506,Q55124796,Jacob Friedrich Isenflamm,"(1740, 1790)",0.10033412071700874,anatomist
22507,Q456820,Thomas Hodgkin,"(1810, 1860)",0.11330212944449443,anatomist
22508,Q4082081,William Abraham Bell,"(1850, 1900)",0.10128904582128587,explorer
22509,Q72995,Christian Ludwig Gerling,"(1800, 1850)",0.10335333160971383,astronomer
22510,Q72995,Christian Ludwig Gerling,"(1800, 1850)",0.10335333160971383,physicist
22511,Q72995,Christian Ludwig Gerling,"(1800, 1850)",0.10335333160971383,mathematician
22512,Q72995,Christian Ludwig Gerling,"(1800, 1850)",0.10335333160971383,university teacher
22513,Q3752277,François Simon Cordier,"(1810, 1860)",0.10028675847072949,botanist
22514,Q5650135,Hans Henrich Maschmann,"(1790, 1840)",0.10094732746375722,chemist
22515,Q106511,Tobias Conrad Lotter,"(1730, 1780)",0.10090977234810208,engraver
22516,Q106511,Tobias Conrad Lotter,"(1730, 1780)",0.10090977234810208,cartographer
22517,Q106511,Tobias Conrad Lotter,"(1730, 1780)",0.10090977234810208,copperplate engraver
22518,Q334057,Henry Fawcett,"(1840, 1890)",0.10351745501668272,economist
22519,Q334057,Henry Fawcett,"(1840, 1890)",0.10351745501668272,university teacher
22520,Q737013,Auguste Kerckhoffs,"(1850, 1900)",0.11430017342619445,mathematician
22521,Q737013,Auguste Kerckhoffs,"(1850, 1900)",0.11430017342619445,cryptographer
22522,Q737013,Auguste Kerckhoffs,"(1850, 1900)",0.11430017342619445,linguist
22523,Q76360,August Wilhelm von Hofmann,"(1830, 1880)",0.1320590041878644,chemist
22524,Q76360,August Wilhelm von Hofmann,"(1830, 1880)",0.1320590041878644,university teacher
22525,Q2977414,Claude-François Milliet Dechales,"(1630, 1680)",0.10184936831221375,mathematician
22526,Q3430500,Richard Baron,"(1860, 1910)",0.1009042639088339,botanist
22527,Q3430500,Richard Baron,"(1860, 1910)",0.1009042639088339,geologist
22528,Q205096,Robert Wood,"(1730, 1780)",0.1031894604958334,archaeologist
22529,Q205096,Robert Wood,"(1730, 1780)",0.1031894604958334,classical scholar
22530,Q10364024,Roger North,"(1600, 1650)",0.10034691076234264,explorer
22531,Q18530742,Richard Billingham,"(1310, 1360)",0.10004715004384111,logician
22532,Q18530742,Richard Billingham,"(1310, 1360)",0.10004715004384111,theologian
22533,Q1625673,Johannes Vögelin,"(1510, 1560)",0.10018042508942308,astronomer
22534,Q1625673,Johannes Vögelin,"(1510, 1560)",0.10018042508942308,mathematician
22535,Q1625673,Johannes Vögelin,"(1510, 1560)",0.10018042508942308,university teacher
22536,Q15842741,Robert Tucker,"(1840, 1890)",0.100549340907167,mathematician
22537,Q6215032,Johan Erik Forsström,"(1790, 1840)",0.1014996363295918,botanist
22538,Q3271312,Léon Rostan,"(1800, 1850)",0.10058392272565418,neurologist
22539,Q111036322,Jean Ignace Cayer,"(1710, 1760)",0.1001023343936274,astronomer
22540,Q1927572,Michael Gotthard Fischer,"(1780, 1830)",0.10120827454706585,composer
22541,Q1927572,Michael Gotthard Fischer,"(1780, 1830)",0.10120827454706585,music pedagogue
22542,Q5586602,Israel Bringius,"(1600, 1650)",0.10039808221914413,political scientist
22543,Q5586602,Israel Bringius,"(1600, 1650)",0.10039808221914413,philosopher
22544,Q5394920,Ernst Bernard Heyne,"(1840, 1890)",0.10006961381887389,horticulturist
22545,Q5394920,Ernst Bernard Heyne,"(1840, 1890)",0.10006961381887389,botanist
22546,Q3126477,Hamlet Clark,"(1830, 1880)",0.10030716380804629,naturalist
22547,Q3126477,Hamlet Clark,"(1830, 1880)",0.10030716380804629,entomologist
22548,Q3126477,Hamlet Clark,"(1830, 1880)",0.10030716380804629,arachnologist
22549,Q1714479,Justus Amadeus Lecerf,"(1800, 1850)",0.10025609941809922,composer
22550,Q1714479,Justus Amadeus Lecerf,"(1800, 1850)",0.10025609941809922,conductor
22551,Q1714479,Justus Amadeus Lecerf,"(1800, 1850)",0.10025609941809922,music pedagogue
22552,Q556654,Theodorus Moretus,"(1610, 1660)",0.10146145370051891,astronomer
22553,Q556654,Theodorus Moretus,"(1610, 1660)",0.10146145370051891,mathematician
22554,Q3219242,Laurent Garcin,"(1690, 1740)",0.10034488949160617,botanist
22555,Q3219242,Laurent Garcin,"(1690, 1740)",0.10034488949160617,meteorologist
22556,Q3383768,Pierre Armand Léopold de Guirard de Montarnal,"(1780, 1830)",0.10019970836034658,explorer
22557,Q7325295,Richard Dugard Grainger,"(1810, 1860)",0.10013516748210201,physiologist
22558,Q7325295,Richard Dugard Grainger,"(1810, 1860)",0.10013516748210201,anatomist
22559,Q2086079,Philip Burnard Ayres,"(1820, 1870)",0.10038484132524855,botanist
22560,Q1604474,Helmuth Blücher,"(1820, 1870)",0.1001805259949834,pharmacologist
22561,Q1604474,Helmuth Blücher,"(1820, 1870)",0.1001805259949834,university teacher
22562,Q1690413,Joachim Rosenow,"(1630, 1680)",0.10015056500385097,mathematician
22563,Q1690413,Joachim Rosenow,"(1630, 1680)",0.10015056500385097,university teacher
22564,Q1294027,Edward Wakefield,"(1780, 1830)",0.10054111930750743,statistician
22565,Q3440285,Roland Victor Pottier,"(1790, 1840)",0.10029418997253214,geographer
22566,Q120874,Georg Gottlieb Pusch,"(1800, 1850)",0.1005701845208122,paleontologist
22567,Q120874,Georg Gottlieb Pusch,"(1800, 1850)",0.1005701845208122,geologist
22568,Q120874,Georg Gottlieb Pusch,"(1800, 1850)",0.1005701845208122,university teacher
22569,Q1458096,Fridericus Amann,"(1410, 1460)",0.10016231302430366,astronomer
22570,Q1458096,Fridericus Amann,"(1410, 1460)",0.10016231302430366,mathematician
22571,Q3524856,Thomas Allen,"(1550, 1600)",0.10160146368386284,mathematician
22572,Q89530,Paul Carl Beiersdorf,"(1850, 1900)",0.10135772342027043,pharmacologist
22573,Q55807,William Baffin,"(1590, 1640)",0.13853906469650004,cartographer
22574,Q55807,William Baffin,"(1590, 1640)",0.13853906469650004,explorer
22575,Q22231054,Karl Schwering,"(1860, 1910)",0.10032413823790585,mathematician
22576,Q22231054,Karl Schwering,"(1860, 1910)",0.10032413823790585,pedagogue
22577,Q646371,Spenser Buckingham St. John,"(1840, 1890)",0.10213105591977954,explorer
22578,Q938285,Arthur de Capell Brooke,"(1800, 1850)",0.10138341246242617,geographer
22579,Q94040,Guido von List,"(1860, 1910)",0.11545835551154818,economist
