,individual_wikidata_id,individual_name,occupations_wikidata_id,occupations_name,occupations_category
111264,Q1984850,Nicholas Barbon,Q188094,economist,science|writer
111285,Q7295093,Rasmus Carl Staeger,Q3055126,entomologist,science|writer
111297,Q61797,"Hermann, Fürst von Pückler-Muskau",Q11900058,explorer,science|writer
111298,Q61797,"Hermann, Fürst von Pückler-Muskau",Q1937330,world traveler,science|writer
111300,Q726257,Guy de La Brosse,Q2374149,botanist,science|writer
111301,Q21548899,Friedrich Wadzeck,Q1231865,pedagogue,science|writer
111302,Q95097064,Josef Vašák,Q1231865,pedagogue,science|writer
111313,Q3092380,Félix Biet,Q1225716,ornithologist,science|writer
111314,Q3092380,Félix Biet,Q3055126,entomologist,science|writer
111326,Q15626964,Adele Marion Fielde,Q18805,naturalist,science|writer
111327,Q15626964,Adele Marion Fielde,Q3055126,entomologist,science|writer
111329,Q57246281,François Florens,Q2374149,botanist,science|writer
111330,Q11711252,Ignacy Lemoch,Q294126,land surveyor,science|writer
111331,Q7789808,Thomas Frederick Colby,Q1734662,cartographer,artist|science|writer
111332,Q3022536,Denis Barberet,Q864503,biologist,science|writer
111338,Q456126,Matthias Tanner,Q1231865,pedagogue,science|writer
111341,Q1338318,William Smith,Q11900058,explorer,science|writer
111349,Q61481338,Giuseppe Piolti,Q520549,geologist,science|writer
111350,Q94580666,Pietro Nisiteo,Q18805,naturalist,science|writer
111356,Q43135976,Charles Miller Booth,Q2374149,botanist,science|writer
111383,Q412791,Ajima Naonobu,Q11063,astronomer,science|writer
111384,Q412791,Ajima Naonobu,Q170790,mathematician,science|writer
111390,Q62075861,Constant Bamps,Q3055126,entomologist,science|writer
111400,Q1292161,Edward Fitzgerald Beale,Q11900058,explorer,science|writer
111411,Q122703,Franz Ludwig Späth,Q2374149,botanist,science|writer
111412,Q22572394,Alexander Rudzki,Q901,scientist,science|writer
111429,Q482189,Amédée Louis Michel Le Peletier de Saint-Fargeau,Q350979,zoologist,science|writer
111430,Q482189,Amédée Louis Michel Le Peletier de Saint-Fargeau,Q3055126,entomologist,science|writer
111432,Q4428698,Søren Christian Sommerfelt,Q2374149,botanist,science|writer
111433,Q4428698,Søren Christian Sommerfelt,Q2487799,mycologist,science|writer
111434,Q4428698,Søren Christian Sommerfelt,Q3055126,entomologist,science|writer
111436,Q15731822,Zacharias Cajander,Q1781198,agronomist,science|writer
111439,Q52191899,Pauline Schomburgk,Q1818899,settler,science|writer
111443,Q18342964,William Braine,Q11900058,explorer,science|writer
111446,Q95150050,Vojtěch Vlastimil Janota,Q1231865,pedagogue,science|writer
111455,Q1948083,Moritz Vogel,Q16145150,music pedagogue,artist|science|writer
111468,Q11817934,Piotr Pawłowicz Dubrowski,Q901,scientist,science|writer
111470,Q21609287,William Webb Spicer,Q2374149,botanist,science|writer
111471,Q6287159,Joseph Stayman,Q3140857,horticulturist,science|writer
111480,Q21611054,Bernardino Turio,Q2374149,botanist,science|writer
111481,Q51144,Rambaldo degli Azzoni Avogaro,Q3621491,archaeologist,science|writer
111485,Q18546412,James Cunningham,Q18805,naturalist,science|writer
111486,Q18546412,James Cunningham,Q2374149,botanist,science|writer
111488,Q94830630,Jeremias Friedrich Reuß,Q1231865,pedagogue,science|writer
111492,Q17019126,Patrick Cunningham,Q901,scientist,science|writer
111501,Q52476396,Cornelis Eversdijk,Q170790,mathematician,science|writer
111502,Q102279121,Giovan Battista Rossi Scotti,Q3621491,archaeologist,science|writer
111519,Q7794825,Thomas Walford,Q4773904,anthropologist,science|writer
111520,Q7794825,Thomas Walford,Q3621491,archaeologist,science|writer
111533,Q19693111,Włodzimierz Adolf Wolniewicz,Q1781198,agronomist,science|writer
111535,Q1507559,George Henry Kinahan,Q520549,geologist,science|writer
111554,Q631168,Ludwig Immanuel Magnus,Q170790,mathematician,science|writer
111570,Q1471613,Frédéric Pluquet,Q3621491,archaeologist,science|writer
111575,Q925729,Ignace-Gaston Pardies,Q169470,physicist,science|writer
111576,Q925729,Ignace-Gaston Pardies,Q170790,mathematician,science|writer
111584,Q55852414,Georg Hoerner,Q1231865,pedagogue,science|writer
111587,Q16537090,Amand Bineau,Q593644,chemist,science|writer
111592,Q21607515,August Rudberg,Q2374149,botanist,science|writer
111593,Q21607515,August Rudberg,Q1371378,ethnologist,science|writer
111597,Q2081928,Édouard Piaget,Q3055126,entomologist,science|writer
111599,Q4426750,Vicente Sodré,Q11900058,explorer,science|writer
111602,Q6201326,Carl Säve,Q2374149,botanist,science|writer
111606,Q2003028,Joseph Whittaker,Q2374149,botanist,science|writer
111627,Q94765368,Johann Reimers,Q170790,mathematician,science|writer
111674,Q15782560,Heinrich Maurer,Q28319434,pomologist,science|writer
111675,Q686218,John Huxham,Q169470,physicist,science|writer
111677,Q15615855,Henry Baines,Q2374149,botanist,science|writer
111695,Q95220810,Josef Kalasan Skalický,Q1231865,pedagogue,science|writer
111699,Q15147101,Emil Wilde,Q170790,mathematician,science|writer
111706,Q1610319,Herman Moll,Q1734662,cartographer,artist|science|writer
111710,Q74949,Michael Bernhard Valentini,Q18805,naturalist,science|writer
111725,Q18811340,Thomas Southwell,Q18805,naturalist,science|writer
111734,Q55672303,Édouard Forestié,Q3621491,archaeologist,science|writer
111736,Q15067283,Nikolay Ivanov,Q901,scientist,science|writer
111744,Q4439978,Edward Alexander Starck,Q3055126,entomologist,science|writer
111747,Q3655695,Edward Stanford,Q1734662,cartographer,artist|science|writer
111753,Q3807568,Jean-Antoine Gal,Q3621491,archaeologist,science|writer
111756,Q10853762,Antonín Baum,Q3621491,archaeologist,science|writer
111762,Q90419035,Eugénio Ricardo Monteiro de Almeida,Q16145150,music pedagogue,artist|science|writer
111764,Q22212608,Justin Pouyanne,Q1734662,cartographer,artist|science|writer
111765,Q22212608,Justin Pouyanne,Q11900058,explorer,science|writer
111769,Q1065260,Charles La Trobe,Q10498147,scientific explorer,science|writer
111770,Q21519518,August Georg von Lösecke,Q2374149,botanist,science|writer
111775,Q763461,August Preuner,Q15983985,classical archaeologist,science|writer
111785,Q1434790,Johann Daniel Geier,Q18805,naturalist,science|writer
111787,Q91980,Adrian Diel,Q28319434,pomologist,science|writer
111792,Q125522,Richard Brenner,Q11900058,explorer,science|writer
111814,Q2960279,Charles Swinhoe,Q18805,naturalist,science|writer
111815,Q2960279,Charles Swinhoe,Q1225716,ornithologist,science|writer
111816,Q2960279,Charles Swinhoe,Q497294,lepidopterist,science|writer
111817,Q106613347,Antonio Nobile,Q11063,astronomer,science|writer
111818,Q106613347,Antonio Nobile,Q170790,mathematician,science|writer
111838,Q79012,Ferdinand Bauer,Q2374149,botanist,science|writer
111839,Q79012,Ferdinand Bauer,Q11900058,explorer,science|writer
111840,Q6263356,John Wedgwood,Q3140857,horticulturist,science|writer
111860,Q6241405,John Jackson Oakden,Q11900058,explorer,science|writer
111865,Q3742952,Fernando Rivera y Moncada,Q11900058,explorer,science|writer
111876,Q32859622,William Burns Patterson,Q3140857,horticulturist,science|writer
111877,Q33125539,Benno Matthes,Q16271064,herpetologist,science|writer
111881,Q12031484,Kristian Petrlík,Q1231865,pedagogue,science|writer
111884,Q24713561,Mateo Lisón y Viedma,Q188094,economist,science|writer
111927,Q55127755,Wübbe Ulrichs Jütting,Q1231865,pedagogue,science|writer
111932,Q5612624,"Leonard Courtney, 1st Baron Courtney of Penwith",Q2732142,statistician,science|writer
111936,Q12347711,Ferenc Herbich,Q520549,geologist,science|writer
