,wikidata_id,meta_occupation
467,Q105240,astronomer
468,Q105244,chemist
469,Q1052478,mathematician
470,Q1052478,historian
471,Q105251,economist
472,Q105262,geographer
473,Q105314,botanist
474,Q105317949,chemist
475,Q105388,astronomer
476,Q105398,physicist
477,Q105398,zoologist
478,Q105403386,mathematician
479,Q105409,physicist
480,Q105409,mathematician
481,Q105412,physicist
482,Q105412,geologist
483,Q10541278,geographer
484,Q1054161,archeologist
485,Q105422,anatomist
486,Q105428,philosopher
487,Q1054400,botanist
488,Q105483,physicist
489,Q105509,chemist
490,Q105555624,botanist
491,Q105603,paleontologist
492,Q105603,zoologist
493,Q1056148,historian
494,Q1056148,economist
495,Q105622308,geologist
496,Q105649,linguist
497,Q1057041,geologist
498,Q105708,geologist
499,Q105708,historian
500,Q105708,botanist
501,Q105776,historian
502,Q105776674,anthropologist
503,Q105781,mathematician
504,Q105781,historian
505,Q105783,zoologist
506,Q105786476,archeologist
507,Q105786476,historian
508,Q105791,zoologist
509,Q105798,archeologist
510,Q105798,anthropologist
511,Q105798,anatomist
512,Q105798,historian
513,Q1058137,philosopher
514,Q1058137,archeologist
515,Q1058137,economist
516,Q105826791,musicologist
517,Q105866656,geographer
518,Q105888130,paleontologist
519,Q105950394,musicologist
520,Q105965059,geographer
521,Q105972610,botanist
522,Q105996,chemist
523,Q1060329,chemist
524,Q1060329,economist
525,Q1060329,botanist
526,Q1060329,zoologist
527,Q106040469,astronomer
528,Q106040469,mathematician
529,Q106068,astronomer
530,Q106068,theologian
531,Q106070,anatomist
532,Q106109,economist
533,Q1061263,anthropologist
534,Q106129085,economist
535,Q106134,economist
536,Q106138306,paleontologist
537,Q106147,sociologist
538,Q106147,historian
539,Q106148,anthropologist
540,Q106149,botanist
541,Q106153,botanist
542,Q106178,botanist
543,Q106190,anatomist
544,Q106208,physicist
545,Q106208,mathematician
546,Q1063339,zoologist
547,Q1063402,musicologist
548,Q1063421,mathematician
549,Q1063507,zoologist
550,Q1063507,botanist
551,Q1063531,archeologist
552,Q1063554,botanist
553,Q1063723,archeologist
554,Q1063723,anthropologist
555,Q1063723,historian
556,Q1063743,physicist
557,Q1063743,chemist
558,Q106378577,mathematician
559,Q1063834,botanist
560,Q1064058,geologist
561,Q1064058,chemist
562,Q1064058,botanist
563,Q1064156,anatomist
564,Q1064352,archeologist
565,Q1064352,anthropologist
566,Q1064352,historian
567,Q106441,zoologist
568,Q1064429,botanist
569,Q1064465,zoologist
570,Q1064524,botanist
571,Q1064547,economist
572,Q1064648,physicist
573,Q1064648,chemist
574,Q106464898,chemist
575,Q106489731,mathematician
576,Q106489731,economist
577,Q106498592,botanist
578,Q1065034,botanist
