,wikidata_id,individual_name,region_code,region_name,birthyear,meta_occupation,meta_region
10467,Q264028,John of Salisbury,re_france,France,1110.0,theologian | philosopher | historian | political scientist,europe
10475,Q4894666,Symon van de Moolen,re_low_countries,Low countries,1658.0,geographer | astronomer | mathematician,europe
10476,Q3340583,Nicolas Mathieu,re_france,France,1640.0,musicologist,europe
10478,Q770506,Christian Sgrooten,re_german_world,German world,1525.0,geographer,europe
10479,Q2141275,Reinher von Paderborn,re_german_world,German world,1140.0,mathematician,europe
10488,Q1084541,Christoph August Heumann,re_german_world,German world,1681.0,theologian,europe
10497,Q1389095,Jakob Mennel,re_german_world,German world,1460.0,historian,europe
10498,Q3085510,François Parfaict,re_france,France,1698.0,historian,europe
10503,Q1693335,Johann Engelhard Steuber,re_german_world,German world,1693.0,theologian,europe
10504,Q959953,Philippe van Lansberge,re_low_countries,Low countries,1561.0,astronomer,europe
10505,Q1693043,Johann Christoph Krüsike,re_german_world,German world,1682.0,theologian,europe
10506,Q738477,Marcus Zuerius van Boxhorn,re_low_countries,Low countries,1612.0,linguist,europe
10509,Q60769,Hieronymus Bock,re_german_world,German world,1498.0,botanist | zoologist,europe
10510,Q3219052,Laurent Bordelon,re_france,France,1653.0,theologian,europe
10513,Q5802511,Johan Hermansson,re_nordic_countries,Nordic countries,1679.0,political scientist,europe
10515,Q2433248,Tilemann von Hussen,re_german_world,German world,1497.0,theologian,europe
10518,Q598060,Peter Martyr Vermigli,re_german_world,German world,1499.0,theologian,europe
10519,Q2180340,Titia Brongersma,re_low_countries,Low countries,1650.0,archeologist,europe
10521,Q27666710,Oswald Schlee,re_german_world,German world,1553.0,theologian,europe
10529,Q2638958,Albert Vogt,re_german_world,German world,1634.0,theologian,europe
10530,Q4678889,Adam Contzen,re_german_world,German world,1571.0,economist,europe
10534,Q2681934,Pieter van Dam,re_low_countries,Low countries,1621.0,historian,europe
10566,Q1904139,Martin Janus,re_german_world,German world,1620.0,theologian,europe
10575,Q94786689,Thomas Lindemann,re_nordic_countries,Nordic countries,1609.0,theologian,europe
10581,Q1375332,Lieuwe van Aitzema,re_low_countries,Low countries,1600.0,historian,europe
10587,Q21104968,Lubbert Gerritsz.,re_low_countries,Low countries,1534.0,theologian,europe
10588,Q91136,John of Hildesheim,re_german_world,German world,1315.0,theologian | historian,europe
10589,Q2960110,Charles René Billuart,re_france,France,1685.0,theologian,europe
10594,Q1598264,Heinrich Martin Eckard,re_german_world,German world,1615.0,theologian,europe
10599,Q55676147,Philipp Heinrich Weber,re_german_world,German world,1619.0,theologian,europe
10600,Q55674108,Johann David Baier,re_german_world,German world,1681.0,theologian,europe
10604,Q1696529,Johann Werlhof,re_german_world,German world,1660.0,political scientist,europe
10607,Q4893800,Bernard of Trilia,re_france,France,1240.0,theologian,europe
10620,Q55122745,Sebastian Beck,re_german_world,German world,1583.0,theologian,europe
10621,Q1697195,Johann Bader,re_german_world,German world,1487.0,theologian,europe
10624,Q1696580,Johann Wilhelm Jan,re_german_world,German world,1681.0,theologian | historian,europe
10625,Q76588,Martin Agricola,re_german_world,German world,1486.0,musicologist,europe
10627,Q57073,Daniel Gabriel Fahrenheit,re_low_countries,Low countries,1686.0,physicist | chemist,europe
10632,Q29513373,Valentin Steinmetz,re_german_world,German world,1547.0,astronomer,europe
10634,Q5487543,Henricus Martini Fattbur,re_nordic_countries,Nordic countries,1590.0,theologian,europe
10635,Q55902965,Wolfgang Dominicus Beer,re_german_world,German world,1640.0,theologian,europe
10638,Q1218411,Jean de Nostredame,re_france,France,1522.0,historian,europe
10652,Q23888778,Jacob Lois,re_low_countries,Low countries,1620.0,historian,europe
10654,Q316996,Franciscus Sylvius,re_low_countries,Low countries,1614.0,chemist | anatomist,europe
10660,Q103335,Fritsche Closener,re_france,France,1315.0,historian,europe
10664,Q1085914,Christoph Mass,re_german_world,German world,1508.0,astronomer,europe
10668,Q20747317,David Lobeck,re_german_world,German world,1560.0,theologian,europe
10669,Q1176994,David Voit,re_german_world,German world,1529.0,theologian,europe
10679,Q805661,Balthasar Zimmermann,re_german_world,German world,1570.0,geographer,europe
10680,Q2572734,Wilhelm Friedrich Lutz,re_german_world,German world,1551.0,theologian,europe
10685,Q99609,Daniel Georg Morhof,re_german_world,German world,1639.0,historian,europe
10688,Q2281685,Philip Verheyen,re_low_countries,Low countries,1648.0,anatomist,europe
10703,Q95871,Berchtold von Kremsmünster,re_german_world,German world,1270.0,historian,europe
10704,Q1692831,Johann Carl Schott,re_german_world,German world,1672.0,archeologist,europe
10710,Q315163,Joseph Justus Scaliger,re_low_countries,Low countries,1540.0,archeologist | historian,europe
10716,Q65033632,Jacques Bertot,re_france,France,1622.0,theologian,europe
10717,Q1577536,Johannes Ens,re_low_countries,Low countries,1682.0,theologian,europe
10728,Q3171640,Jean Delespine,re_france,France,1506.0,theologian,europe
10729,Q95638,Georg Rhau,re_german_world,German world,1488.0,musicologist,europe
10730,Q17414317,Johann Wilhelm Stuck,re_german_world,German world,1542.0,theologian,europe
10733,Q3028676,Diogo Barbosa Machado,re_france,France,1682.0,historian,europe
10736,Q17493597,Otto Gibel,re_german_world,German world,1612.0,musicologist,europe
10742,Q733907,Jean Baptiste Bourguignon d'Anville,re_france,France,1697.0,geographer,europe
10743,Q1527187,Gisbert Matthias Elsner,re_low_countries,Low countries,1698.0,theologian,europe
10745,Q31209942,Gerard van Keulen,re_low_countries,Low countries,1678.0,geographer,europe
10749,Q51597755,Jean-Joseph Granet,re_france,France,1685.0,historian,europe
