,wikidata_id,individual_name,region_code,region_name,birthyear,meta_occupation,meta_region,region
34056,Q214544,Bonaventura Cavalieri,re_italy,Italy,1598.0,astronomer | mathematician,europe,re_europe
34061,Q2621738,Costanzo Varolio,re_italy,Italy,1543.0,anatomist,europe,re_europe
34062,Q21208970,Giorgio Raguseo,re_italy,Italy,1580.0,philosopher,europe,re_europe
34070,Q2546346,John de Lugo,re_italy,Italy,1583.0,theologian | economist,europe,re_europe
34071,Q99284555,Bartolomeo Ricci,re_italy,Italy,1542.0,theologian,europe,re_europe
34076,Q1933377,Pietro de' Crescenzi,re_italy,Italy,1233.0,botanist,europe,re_europe
34082,Q3565998,Matteo Tafuri,re_italy,Italy,1492.0,philosopher,europe,re_europe
34083,Q555930,Lodovico Grossi da Viadana,re_italy,Italy,1560.0,musicologist,europe,re_europe
34087,Q3992830,Tommaso Porcacchi,re_italy,Italy,1530.0,geographer,europe,re_europe
34088,Q18945447,Giovanni Lodovico Longo,re_italy,Italy,1501.0,mathematician,europe,re_europe
34092,Q3617081,Angelo Mario Edoari Da Erba,re_italy,Italy,1520.0,historian,europe,re_europe
34114,Q2998393,Costanzo Torri,re_italy,Italy,1531.0,philosopher,europe,re_europe
34117,Q5860458,Fernandus Cordubensis,re_italy,Italy,1425.0,theologian | philosopher,europe,re_europe
34119,Q3758075,Gandulf of Bologna,re_italy,Italy,1200.0,theologian,europe,re_europe
34120,Q518117,Francisco Zumel,re_spain,Spain,1540.0,philosopher,europe,re_europe
34121,Q545716,Pere Miquel Carbonell,re_spain,Spain,1434.0,historian,europe,re_europe
34123,Q5880098,Giovanni Antonio Summonte,re_italy,Italy,1600.0,historian,europe,re_europe
34126,Q4095200,Ercole Bottrigari,re_italy,Italy,1531.0,musicologist,europe,re_europe
34127,Q55226214,Pietro Calanna,re_italy,Italy,1531.0,theologian | philosopher,europe,re_europe
34128,Q22671615,Francesco de Pietri,re_italy,Italy,1575.0,historian,europe,re_europe
34129,Q646955,Francesco Fontana,re_italy,Italy,1585.0,astronomer,europe,re_europe
34131,Q5791926,Cristóbal de Fonseca,re_spain,Spain,1550.0,philosopher,europe,re_europe
34133,Q61483702,Ascanio Centorio Degli Ortensi,re_italy,Italy,1550.0,historian,europe,re_europe
34134,Q56006568,Pompeo Della Barba,re_italy,Italy,1521.0,philosopher,europe,re_europe
34137,Q30917156,Pedro Vélez de Guevara,re_spain,Spain,1529.0,philosopher,europe,re_europe
34139,Q3130411,Prudencio de Sandoval,re_spain,Spain,1553.0,historian,europe,re_europe
34143,Q437543,Paolo Giovio,re_italy,Italy,1483.0,historian,europe,re_europe
34149,Q3904042,Pietro Marchetti,re_italy,Italy,1589.0,anatomist,europe,re_europe
34153,Q17064119,Juan Vespucio,re_spain,Spain,1486.0,geographer,europe,re_europe
34155,Q112283632,Ambrogio Taegio,re_italy,Italy,1461.0,historian,europe,re_europe
34161,Q6774959,Martin Bauzer,re_italy,Italy,1595.0,historian,europe,re_europe
34164,Q855257,Blasius of Parma,re_italy,Italy,1355.0,philosopher | mathematician,europe,re_europe
34167,Q5564782,Girolamo Priuli,re_italy,Italy,1476.0,historian,europe,re_europe
34169,Q4792439,Arlotto of Prato,re_italy,Italy,1201.0,theologian,europe,re_europe
34178,Q21208961,Onofrio Puglisi,re_italy,Italy,1500.0,mathematician,europe,re_europe
34180,Q711910,Niccolò Barbaro,re_italy,Italy,1420.0,historian,europe,re_europe
34183,Q458742,Ambrogio Calepino,re_italy,Italy,1436.0,linguist,europe,re_europe
34186,Q89484095,Donato Bosso,re_italy,Italy,1436.0,historian,europe,re_europe
34188,Q365805,Gioseffo Zarlino,re_italy,Italy,1517.0,musicologist,europe,re_europe
