,wikidata_id,individual_name,region_code,region_name,birthyear,meta_occupation,meta_region
21532,Q2284797,Sigismund Ferdinand Hartmann,re_central_europe,Central Europe,1632.0,mathematician,europe
21536,Q1697799,Johannes Junge,re_central_europe,Central Europe,1600.0,mathematician,europe
21563,Q466779,Elisabeth Hevelius,re_central_europe,Central Europe,1647.0,astronomer,europe
21573,Q19834156,Aegidius Salius,re_central_europe,Central Europe,1536.0,mathematician | physicist,europe
21577,Q559090,Fryderyk Getkant,re_slav_world,Slav world,1600.0,geographer,europe
21603,Q277766,Rogerius of Apulia,re_balkans,Balkans,1201.0,historian,europe
21609,Q11767658,Marcin Król z Żurawicy,re_central_europe,Central Europe,1422.0,astronomer | mathematician,europe
21618,Q1602905,Samuel Suchodolec,re_central_europe,Central Europe,1649.0,geographer,europe
21627,Q435547,Andreas Osiander,re_slav_world,Slav world,1499.0,theologian | mathematician,europe
21633,Q1085393,Christoph Langhansen,re_slav_world,Slav world,1691.0,theologian | astronomer | mathematician,europe
21655,Q4850052,Balanos Vasilopoulos,re_balkans,Balkans,1694.0,mathematician,europe
21657,Q559436,Georg Mohr,re_central_europe,Central Europe,1640.0,mathematician,europe
21679,Q88202,Georg Andreas Helwing,re_central_europe,Central Europe,1666.0,theologian | botanist,europe
21681,Q1697959,Johannes Loesel,re_slav_world,Slav world,1607.0,botanist,europe
21683,Q2112581,Prokop Lupáč z Hlaváčova,re_central_europe,Central Europe,1535.0,historian,europe
21684,Q60946,Martin Opitz,re_central_europe,Central Europe,1597.0,art theorist,europe
21690,Q1084798,Christoph Eilard,re_slav_world,Slav world,1585.0,physicist,europe
21691,Q673421,Leonhard von Dobschütz,re_central_europe,Central Europe,1450.0,astronomer | mathematician,europe
21692,Q16521537,János Lippay,re_central_europe,Central Europe,1606.0,botanist,europe
21699,Q2284813,Sigismund Weier,re_slav_world,Slav world,1579.0,historian | astronomer | mathematician,europe
21703,Q1001675,Dániel Fischer,re_central_europe,Central Europe,1695.0,zoologist,europe
21713,Q1693910,Johann Georg Neidhardt,re_slav_world,Slav world,1680.0,musicologist,europe
21727,Q1918880,Nicolae Milescu,re_slav_world,Slav world,1636.0,historian | geographer | linguist | theologian,europe
21741,Q552684,Michał Sędziwój,re_central_europe,Central Europe,1566.0,chemist,europe
21786,Q11686547,Anzelm Gostomski,re_central_europe,Central Europe,1508.0,botanist,europe
21808,Q7347782,Robert Morden,re_central_europe,Central Europe,1650.0,geographer,europe
21809,Q4115413,Matrakçı Nasuh,re_balkans,Balkans,1480.0,historian | geographer | mathematician,europe
21812,Q48865080,Stanislaw Filipowicz,re_central_europe,Central Europe,1690.0,astronomer | mathematician,europe
21813,Q56255950,Melchior Stefanides,re_central_europe,Central Europe,1550.0,logician,europe
21851,Q47502076,Alexandr Šamský,re_central_europe,Central Europe,1687.0,philosopher | physicist,europe
21863,Q16584910,Oswald Krüger,re_slav_world,Slav world,1589.0,astronomer | mathematician | physicist,europe
21902,Q1543704,Leonhard Stöckel,re_central_europe,Central Europe,1510.0,theologian,europe
21904,Q4274799,Friedrich Christoph Mayer,re_slav_world,Slav world,1697.0,astronomer | mathematician,europe
