,wikidata_id,individual_name_x,region_code,region_name,birthyear,meta_occupation,meta_region,individual_name_y,gender
53,Q6779086,Mary Bonaventure Browne,re_british_islands,British Islands,1610.0,historian,europe,Mary Bonaventure Browne,female
54,Q1091103,Catharine Trotter,re_british_islands,British Islands,1674.0,philosopher,europe,Catharine Trotter,female
55,Q331855,"Elizabeth Cary, Lady Falkland",re_british_islands,British Islands,1585.0,historian,europe,"Elizabeth Cary, Lady Falkland",female
56,Q2332520,Damaris Cudworth Masham,re_british_islands,British Islands,1659.0,philosopher,europe,Damaris Cudworth Masham,female
57,Q236699,Julian of Norwich,re_british_islands,British Islands,1343.0,theologian,europe,Julian of Norwich,female
58,Q260404,"Anne Conway, Viscountess Conway",re_british_islands,British Islands,1631.0,philosopher,europe,"Anne Conway, Viscountess Conway",female
59,Q5362721,Elizabeth Elstob,re_british_islands,British Islands,1683.0,linguist | historian,europe,Elizabeth Elstob,female
60,Q2359434,Mary Astell,re_british_islands,British Islands,1666.0,philosopher,europe,Mary Astell,female
61,Q19874628,Jane Squire,re_british_islands,British Islands,1686.0,mathematician,europe,Jane Squire,female
62,Q4990594,"Cassandra Willoughby, Duchess of Chandos",re_british_islands,British Islands,1670.0,historian,europe,"Cassandra Willoughby, Duchess of Chandos",female
63,Q59229645,Margaret Flamsteed,re_british_islands,British Islands,1670.0,astronomer,europe,Margaret Flamsteed,female
64,Q3850445,"Mary Somerset, Duchess of Beaufort",re_british_islands,British Islands,1630.0,botanist,europe,"Mary Somerset, Duchess of Beaufort",female
65,Q510352,Mary Delany,re_british_islands,British Islands,1700.0,botanist,europe,Mary Delany,female
66,Q4814842,Eleanor Glanville,re_british_islands,British Islands,1654.0,zoologist,europe,Eleanor Glanville,female
67,Q640051,Bathsua Makin,re_british_islands,British Islands,1600.0,linguist,europe,Bathsua Makin,female
68,Q3292880,Marie de Brimeu,re_low_countries,Low countries,1550.0,botanist,europe,Marie de Brimeu,female
69,Q2391612,Louise-Marie de Lanternât,re_france,France,1663.0,historian,europe,Louise-Marie de Lanternât,female
70,Q20031812,Anna van Westerstee,re_low_countries,Low countries,1657.0,geographer,europe,Anna van Westerstee,female
71,Q757841,Agnes Block,re_low_countries,Low countries,1629.0,botanist,europe,Agnes Block,female
72,Q19986310,Laure Hillerin,re_france,France,949.0,historian,europe,Laure Hillerin,female
73,Q4981388,Kristina Svantesdotter Sture,re_nordic_countries,Nordic countries,1559.0,historian,europe,Kristina Svantesdotter Sture,female
74,Q78074497,Esther Elisabeth de Waldkirch,re_german_world,German world,1660.0,philosopher,europe,Esther Elisabeth de Waldkirch,female
75,Q4955687,Ingeborg i Mjärhult,re_nordic_countries,Nordic countries,1665.0,philosopher,europe,Ingeborg i Mjärhult,female
76,Q23472598,Élisabeth Ferrand,re_france,France,1700.0,philosopher,europe,Élisabeth Ferrand,female
77,Q3292129,Marie Madeleine de Rochechouart de Mortemart,re_france,France,1645.0,linguist,europe,Marie Madeleine de Rochechouart de Mortemart,female
78,Q269687,Mechthild of Magdeburg,re_german_world,German world,1207.0,philosopher,europe,Mechthild of Magdeburg,female
79,Q13565189,Charlotta Frölich,re_nordic_countries,Nordic countries,1698.0,historian | botanist | physicist,europe,Charlotta Frölich,female
80,Q3094147,Gabrielle Suchon,re_france,France,1631.0,philosopher,europe,Gabrielle Suchon,female
81,Q74956,Antonia of Württemberg,re_german_world,German world,1613.0,theologian,europe,Antonia of Württemberg,female
82,Q2180340,Titia Brongersma,re_low_countries,Low countries,1650.0,archeologist,europe,Titia Brongersma,female
83,Q77511,Maria Margaretha Kirch,re_german_world,German world,1670.0,astronomer,europe,Maria Margaretha Kirch,female
84,Q469087,Marie de Gournay,re_france,France,1565.0,philosopher,europe,Marie de Gournay,female
85,Q56029,Sophia Brahe,re_nordic_countries,Nordic countries,1559.0,astronomer | historian,europe,Sophia Brahe,female
86,Q94774031,Daniel Friedrich,re_german_world,German world,1607.0,theologian,europe,Daniel Friedrich,female
87,Q61389,Elisabeth of the Palatinate,re_german_world,German world,1618.0,philosopher,europe,Elisabeth of the Palatinate,female
88,Q237871,Catherine of Vadstena,re_nordic_countries,Nordic countries,1331.0,philosopher,europe,Catherine of Vadstena,female
89,Q100918,Christine Kirch,re_german_world,German world,1697.0,astronomer,europe,Christine Kirch,female
90,Q100330715,Helena Magenbuch,re_german_world,German world,1523.0,pharmacologist | chemist,europe,Helena Magenbuch,female
91,Q62530,Maria Sibylla Merian,re_low_countries,Low countries,1647.0,botanist | zoologist,europe,Maria Sibylla Merian,female
92,Q77239,Katharina von Bora,re_german_world,German world,1499.0,theologian,europe,Katharina von Bora,female
93,Q447170,Marie Dentière,re_france,France,1495.0,theologian,europe,Marie Dentière,female
94,Q5656,Héloïse d’Argenteuil,re_france,France,1101.0,philosopher,europe,Héloïse d’Argenteuil,female
95,Q2616658,Jeanne Dumée,re_france,France,1660.0,astronomer,europe,Jeanne Dumée,female
96,Q56452221,Adrienne-Madeleine Dusillet,re_france,France,1690.0,historian,europe,Adrienne-Madeleine Dusillet,female
97,Q19756224,Johanna Corleva,re_low_countries,Low countries,1698.0,linguist,europe,Johanna Corleva,female
98,Q3291621,Marie-Charlotte de Romilley de La Chesnelaye,re_france,France,1671.0,mathematician,europe,Marie-Charlotte de Romilley de La Chesnelaye,female
99,Q6389108,Louise-Anastasia Serment,re_france,France,1642.0,philosopher,europe,Louise-Anastasia Serment,female
100,Q255261,Anna Maria van Schurman,re_low_countries,Low countries,1607.0,theologian | philosopher,europe,Anna Maria van Schurman,female
101,Q2942125,Catherine de Parthenay,re_france,France,1554.0,mathematician,europe,Catherine de Parthenay,female
102,Q70991,Hildegard of Bingen,re_german_world,German world,1098.0,theologian | philosopher | anatomist,europe,Hildegard of Bingen,female
103,Q61052450,Hortensia del Prado,re_low_countries,Low countries,1575.0,botanist,europe,Hortensia del Prado,female
