,wikidata_id,individual_name,region_code,region_name,birthyear,meta_occupation,meta_region
2038,Q3537994,Raghavendra Tirtha,re_indian_world,Indian world,1595.0,philosopher,non_europe
2039,Q7194114,Pillai Lokacharya,re_indian_world,Indian world,1205.0,philosopher,non_europe
2040,Q6360377,Kanaka Dasa,re_indian_world,Indian world,1509.0,philosopher,non_europe
2043,Q558275,the one eyed,re_indian_world,Indian world,200.0,philosopher,non_europe
2044,Q93267410,Raghunatha Tirtha,re_indian_world,Indian world,1405.0,philosopher,non_europe
2045,Q1423663,Yajnavalkya,re_indian_world,Indian world,-800.0,astronomer | philosopher,non_europe
2047,Q4143328,Gopala Bhatta Goswami,re_indian_world,Indian world,1503.0,theologian,non_europe
2048,Q180967,Adi Shankara,re_indian_world,Indian world,788.0,philosopher,non_europe
2049,Q2349261,Fernão Vaz Dourado,re_indian_world,Indian world,1520.0,geographer,non_europe
2053,Q16155497,Zainuddin Makhdoom II,re_indian_world,Indian world,1531.0,historian,non_europe
2054,Q771686,Basava,re_indian_world,Indian world,1134.0,philosopher,non_europe
2055,Q48730567,Akshobhya Tirtha,re_indian_world,Indian world,1282.0,theologian | philosopher,non_europe
2056,Q445460,Shantideva,re_indian_world,Indian world,685.0,philosopher,non_europe
2061,Q64031619,Raghuttama Tirtha,re_indian_world,Indian world,1548.0,philosopher,non_europe
2063,Q6167696,Jayatirtha,re_indian_world,Indian world,1345.0,philosopher,non_europe
2064,Q15725063,Jasobanta Dasa,re_indian_world,Indian world,1487.0,philosopher,non_europe
2065,Q6479873,Lakshmi Kumara Thathachariar,re_indian_world,Indian world,1572.0,philosopher,non_europe
2066,Q5589914,Govindasvāmi,re_indian_world,Indian world,800.0,astronomer | mathematician,non_europe
2067,Q213385,Bhāskara II,re_indian_world,Indian world,1114.0,astronomer | mathematician,non_europe
2068,Q6747104,Manavala Mamunigal,re_indian_world,Indian world,1370.0,philosopher,non_europe
2071,Q66449255,Satyabhinava Tirtha,re_indian_world,Indian world,1673.0,philosopher,non_europe
2072,Q456963,candra ki+rti,re_indian_world,Indian world,600.0,philosopher,non_europe
2073,Q993504,Yāska,re_indian_world,Indian world,-500.0,linguist,non_europe
2075,Q15724123,Jagannatha Dasa,re_indian_world,Indian world,1491.0,philosopher,non_europe
2076,Q2046090,Melpathur Narayana Bhattathiri,re_indian_world,Indian world,1560.0,astronomer | linguist | mathematician,non_europe
