,wikidata_id,meta_occupation
163195,Q3133011,botanist | meteorologist
162875,Q45461060,historian
68241,Q3384616,linguist
21084,Q55898566,chemist
79859,Q69407085,philosopher
162131,Q319618,economist
150548,Q20562442,linguist
157749,Q3167605,linguist
66791,Q84727594,geologist
161542,Q107356660,linguist
46862,Q7887034,historian
21984,Q1731218,historian
47642,Q21166440,physicist
91057,Q13080913,physicist
86869,Q3262503,chemist
36605,Q55123438,economist
41518,Q96595,historian
109519,Q1599094,theologian
38990,Q1870044,theologian
150444,Q1529904,archeologist
145226,Q3193054,botanist | zoologist
130415,Q746300,botanist
107832,Q56166099,historian
80488,Q55683271,zoologist
24670,Q3085638,musicologist | historian
17348,Q5538067,theologian
53976,Q3588389,botanist
99567,Q12306335,mathematician
150899,Q62241,botanist
139895,Q111850947,theologian
159892,Q3636221,historian
39380,Q65084,geographer
71631,Q2960186,geologist | meteorologist
89040,Q3160342,theologian
47690,Q149890,historian
15484,Q34787,philosopher | economist | sociologist
134221,Q104028995,theologian
62285,Q117688,botanist
154021,Q1958772,linguist
44020,Q2087177,historian
134947,Q98773814,geographer
72298,Q19544314,archeologist
153299,Q4531650,historian
116344,Q2833348,historian
161404,Q22907093,philosopher
38232,Q123898,geologist
73643,Q63165,botanist | physicist | chemist
155381,Q15008021,historian
9800,Q6231677,theologian
43163,Q123876,botanist
156817,Q12730666,historian
155623,Q59821498,chemist
19252,Q5540884,linguist
34325,Q2060387,theologian
50281,Q1393418,theologian
50953,Q28860087,historian
139264,Q41568869,mathematician
133884,Q49121204,historian
58228,Q94897173,theologian
28677,Q31106455,theologian
75017,Q1884596,zoologist
100249,Q12792966,economist
68878,Q1673962,theologian | philosopher
44052,Q17301786,philosopher
124138,Q3839582,musicologist
105758,Q2409806,historian
71411,Q21607098,chemist
132520,Q54370448,geologist | zoologist | paleontologist
101042,Q1620027,botanist | chemist
70178,Q24188548,chemist
27831,Q57313993,mathematician
12188,Q209152,theologian | philosopher
93251,Q977261,historian
82299,Q55675251,theologian
130478,Q12263570,astronomer | mathematician
148271,Q21294852,archeologist
37535,Q187910,historian
139979,Q10347850,philosopher
43652,Q28854619,mathematician
32507,Q66667,pharmacologist | chemist
138333,Q60832163,philosopher
61996,Q5966119,historian
66360,Q4308631,botanist
163008,Q10833845,historian
83483,Q93954250,philosopher
150583,Q48956678,mathematician
130688,Q3750556,physicist
91795,Q1698366,theologian
41009,Q5109868,physicist | mathematician
83720,Q19937834,theologian | philosopher
118159,Q94876631,theologian
4280,Q3823240,geographer
66881,Q1047897,theologian
97856,Q61739563,theologian | historian
69633,Q96575,archeologist
73786,Q15434396,historian
137382,Q892551,theologian
122210,Q1188064,mathematician
73255,Q93844540,mathematician
28522,Q123528,zoologist | anatomist
111366,Q19629423,botanist
19426,Q55711481,physicist
30154,Q15429915,botanist
59851,Q21001519,musicologist
146323,Q101829,theologian
135708,Q23005912,historian
16468,Q2790161,botanist
53471,Q1606988,economist
27353,Q55672658,historian
1924,Q1107900,astronomer | physicist
158490,Q18529621,economist
38924,Q19286794,historian
135016,Q3839278,botanist
108529,Q3170567,zoologist
66698,Q94892668,theologian
49785,Q11854965,economist
46117,Q112133331,geographer
18904,Q9169306,historian
125012,Q100331569,philosopher
2324,Q8016738,theologian
163247,Q3351571,philosopher
33831,Q70417,musicologist | linguist
400,Q15994839,astronomer | meteorologist | mathematician
108934,Q2087675,historian
137666,Q99479674,musicologist
54723,Q16110451,geographer
62329,Q805632,theologian
120718,Q17297296,archeologist | historian
118361,Q3088440,historian
56822,Q78683,philosopher | historian
125127,Q3619596,physicist
39357,Q21522922,botanist | zoologist
156078,Q12789169,botanist
65727,Q62645,geologist | physicist
87242,Q120603,theologian
83229,Q55685292,theologian
163036,Q4684440,zoologist
