,wikidata_id,individual_name,region_code,region_name,birthyear,meta_occupation,meta_region,region
32079,Q2714672,Alessandro Marchetti,re_italy,Italy,1633.0,physicist | mathematician,europe,re_europe
32084,Q17453133,Paolo Bartolomeo Clarici,re_italy,Italy,1664.0,botanist | geographer,europe,re_europe
32094,Q952846,Antonio de Solís y Ribadeneyra,re_spain,Spain,1610.0,historian,europe,re_europe
32095,Q346870,Filippo Bonanni,re_italy,Italy,1638.0,zoologist | historian | mathematician,europe,re_europe
32105,Q3766557,Giovanni Battista Angelini,re_italy,Italy,1690.0,historian,europe,re_europe
32109,Q16268484,Alessandro Macchiavelli,re_italy,Italy,1693.0,historian,europe,re_europe
32121,Q3750080,Francesco Grassi,re_italy,Italy,1685.0,archeologist,europe,re_europe
32127,Q21124239,Salvatore Corticelli,re_italy,Italy,1689.0,theologian,europe,re_europe
32130,Q28678364,Dom Brás,re_portugal,Portugal,1600.0,mathematician,europe,re_europe
32132,Q110779899,Bernardino Faso,re_italy,Italy,1650.0,theologian,europe,re_europe
32134,Q15695484,Giovanni Gaspare Beretti,re_italy,Italy,1660.0,theologian | philosopher | historian,europe,re_europe
32145,Q3695486,Costantino Grimaldi,re_italy,Italy,1667.0,philosopher,europe,re_europe
32150,Q1827205,Lionardo Sesler,re_italy,Italy,1700.0,botanist,europe,re_europe
32174,Q3701909,Daniele Concina,re_italy,Italy,1687.0,theologian,europe,re_europe
32180,Q11939363,Onofre Manescal,re_spain,Spain,1600.0,historian,europe,re_europe
32195,Q3749669,Francesco Brunetti,re_italy,Italy,1605.0,historian,europe,re_europe
32216,Q578134,Antimo Liberati,re_italy,Italy,1617.0,musicologist,europe,re_europe
32227,Q1395790,Francesco Antonio Vallotti,re_italy,Italy,1697.0,musicologist,europe,re_europe
32244,Q3750344,Francesco Negri,re_italy,Italy,1623.0,anatomist,europe,re_europe
32263,Q19657002,Diego de Haedo,re_spain,Spain,1600.0,historian,europe,re_europe
32271,Q85635671,Manuel Marcillo,re_spain,Spain,1656.0,historian,europe,re_europe
32272,Q55127057,Eusebius Graf von Truchseß,re_italy,Italy,1631.0,theologian,europe,re_europe
32287,Q44486869,Lorenzo Penna,re_italy,Italy,1613.0,musicologist,europe,re_europe
32288,Q2087202,Antonio Schinella Conti,re_italy,Italy,1677.0,historian | philosopher | physicist | mathematician,europe,re_europe
32293,Q3769983,Giuseppe Antonini,re_italy,Italy,1683.0,geographer,europe,re_europe
32321,Q3771646,Giuseppe Zambeccari,re_italy,Italy,1655.0,anatomist,europe,re_europe
32328,Q1527972,Giulio Bartolocci,re_italy,Italy,1613.0,theologian,europe,re_europe
32335,Q9620567,António de Oliveira de Cadornega,re_portugal,Portugal,1623.0,historian,europe,re_europe
32345,Q1631577,Jean-Baptiste de Tillier,re_italy,Italy,1678.0,historian,europe,re_europe
32351,Q323281,Guarino Guarini,re_italy,Italy,1624.0,mathematician,europe,re_europe
32363,Q3876588,Nicolò Tron,re_italy,Italy,1685.0,botanist,europe,re_europe
32373,Q67255574,Antonio Riobóo y Seixas Vilardefrancos,re_spain,Spain,1685.0,historian,europe,re_europe
32385,Q50810349,Fulgenzio Cuniliati,re_italy,Italy,1685.0,theologian,europe,re_europe
32386,Q1677539,Judah Leon Templo,re_portugal,Portugal,1602.0,theologian,europe,re_europe
32387,Q86826517,Niccolò Madrisio,re_italy,Italy,1656.0,philosopher,europe,re_europe
32391,Q95281331,Vitalis Terra Rubea,re_italy,Italy,1623.0,philosopher,europe,re_europe
32404,Q3767401,Giovanni Giustino Ciampini,re_italy,Italy,1633.0,archeologist | anthropologist,europe,re_europe
32415,Q18945399,Giovanni Battista Caracciolo,re_italy,Italy,1695.0,mathematician,europe,re_europe
32425,Q24088804,Cipriano Targioni,re_italy,Italy,1672.0,anatomist,europe,re_europe
32432,Q18945682,Niccolò Gianpriamo,re_italy,Italy,1686.0,astronomer | mathematician,europe,re_europe
32433,Q1445496,Giovanni Battista Tolomei,re_italy,Italy,1653.0,philosopher,europe,re_europe
32435,Q110526099,Giovanni Battista Brancadori Perini,re_italy,Italy,1674.0,historian,europe,re_europe
32452,Q5563893,Giovanni Lorenzo Berti,re_italy,Italy,1696.0,theologian,europe,re_europe
32455,Q19402711,Ottavio Falconieri,re_italy,Italy,1636.0,archeologist,europe,re_europe
32459,Q6002934,Martín Ximena Jurado,re_spain,Spain,1615.0,historian,europe,re_europe
32461,Q5949499,Juan Francisco Andrés de Uztárroz,re_spain,Spain,1606.0,historian,europe,re_europe
32473,Q3992847,Tommaso Rossi,re_italy,Italy,1673.0,philosopher,europe,re_europe
32488,Q561604,Vincenzo Coronelli,re_italy,Italy,1650.0,geographer | historian,europe,re_europe
32489,Q63098628,José Perez de Rozas,re_spain,Spain,1640.0,historian,europe,re_europe
32492,Q671057,Pier Francesco Tosi,re_italy,Italy,1654.0,musicologist,europe,re_europe
32493,Q93251886,Pantaleone Dolera,re_italy,Italy,1656.0,theologian,europe,re_europe
32495,Q312794,Nicolas Fouquet,re_italy,Italy,1615.0,economist,europe,re_europe
32496,Q21006183,Matteo Egizio,re_italy,Italy,1674.0,historian,europe,re_europe
32509,Q3713116,Domenico Maria Manni,re_italy,Italy,1690.0,historian,europe,re_europe
32512,Q3766041,Giovambattista Casotti,re_italy,Italy,1669.0,historian,europe,re_europe
32526,Q312694,John Law,re_italy,Italy,1671.0,economist,europe,re_europe
32528,Q1171152,Isaac Lampronti,re_italy,Italy,1679.0,philosopher,europe,re_europe
32545,Q446955,Francesco Gasparini,re_italy,Italy,1668.0,musicologist,europe,re_europe
